                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2564,                 3.3098,                 1.5668,                      0,                      0,                      0,                      0,                      0,                  98.25,                      0,                0.00012,                0.00012,                0.00012
                      2,                0.95865,                 2.0143,                 1.3565,                      0,                      0,                      0,                      0,                      0,                 208.88,                      0,              0.0001313,              0.0001313,              0.0001313
